BookID,BookTitle,CategoryID,Author,Author2,Author3,Author4,Author5,BookCopies,BookPublish,PublisherName,ISBN,Status,Book_Image,BookDateAdded,Language,Bookposition,Bookinformation
14,Silent Spring,2,Rachel Carson,,,,,2,1962,Houghton Mifflin,978-0618249060,Borrowed,https://upload.wikimedia.org/wikipedia/en/a/ac/SilentSpring.jpg,2023-10-07,English,E-2,"Rachel Carson's groundbreaking work that exposed the dangers of pesticides, helping to launch the modern environmental movement."
15,The Origin of Species,2,Charles Darwin,,,,,5,1859,Penguin Classics,978-0140439120,Available,https://upload.wikimedia.org/wikipedia/commons/c/cd/Origin_of_Species_title_page.jpg,2023-10-07,English,E-3,"Charles Darwin's foundational work in evolutionary biology, introducing the theory of evolution by natural selection."
16,Guns Germs and Steel,2,Jared Diamond,,,,,4,1997,W. W. Norton,978-0393317558,Available,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1453215833i/1842.jpg,2023-10-08,English,F-1,Explores why history unfolded differently for different peoples by examining environmental and geographical factors rather than racial ones.
17,Sapiens,3,Yuval Noah Harari,,,,,6,2011,Harper,978-0062316097,Available,https://upload.wikimedia.org/wikipedia/commons/6/6d/Sapiens-_A_Brief_History_of_Humankind.png,2023-10-08,English,F-2,"A global history of humankind, tracing the development of our species from early humans to the cognitive, agricultural, and scientific revolutions."
18,Thinking Fast and Slow,3,Daniel Kahneman,,,,,3,2011,Farrar Straus and Giroux,978-0374275631,Available,https://upload.wikimedia.org/wikipedia/en/c/c1/Thinking%2C_Fast_and_Slow.jpg,2023-10-09,English,F-3,"Explores the two systems that drive the way we think—System 1 (fast, intuitive) and System 2 (slow, logical)—and the cognitive biases that result."
19,The Prince,3,Niccolo Machiavelli,,,,,2,1532,Penguin Classics,978-0140449150,Available,https://upload.wikimedia.org/wikipedia/en/c/c1/Thinking%2C_Fast_and_Slow.jpg,2023-10-09,Italian,G-1,"Niccolò Machiavelli's political treatise offering practical, often ruthless, advice on how a ruler can acquire and maintain political power."
20,Capital,3,Thomas Piketty,,,,,1,2013,Belknap Press,978-0674430006,Available,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1390055828i/28862.jpg,2023-10-10,English,G-2,"Karl Marx's critical analysis of political economy, focusing on capitalism, its internal dynamics, and historical development."
21,Calculus,3,James Stewart,,,,,5,2015,Cengage Learning,978-1285740621,Available,https://pup-assets.imgix.net/onix/images/9780691190075.jpg?w=410&auto=format,2023-10-10,English,H-1,"A classic and rigorous textbook on the foundational concepts of Calculus, often referring to advanced texts like Michael Spivak's."
22,Linear Algebra Done Right,3,Sheldon Axler,,,,,3,2014,Springer,978-3319110790,Available,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRobqC9CkIcTqgM86205zGt6QY-G21l3V_BfA&s,2023-10-11,English,H-2,"A textbook that focuses on the conceptual understanding of linear algebra, organizing the material around operators rather than determinants."
23,Statistical Learning,3,Trevor Hastie,Robert Tibshirani,,,,4,2009,Springer,978-0387848570,Available,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlL9sgDRLHvsiHDOO-ePuhzX-G85nabSHd_Q&s,2023-10-11,English,H-3,"A textbook, often An Introduction to Statistical Learning, covering statistical methods for machine learning and data analysis."
24,Discrete Mathematics,4,Kenneth Rosen,,,,,6,2018,McGraw-Hill,978-1259676512,Available,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3MghGIW4MdIRHIeQ4Mro5iY3ky1Qx1dN2Xg&s,2023-10-12,English,I-1,"A comprehensive textbook covering the core concepts of mathematics relevant to computer science, such as logic, set theory, and graph theory."
25,Euclid's Elements,4,Euclid,,,,,2,300,Green Lion Press,978-1888009194,Available,"https://m.media-amazon.com/images/I/81YvDJ3xZ2L._AC_UF1000,1000_QL80_.jpg",2023-10-12,Greek,I-2,A collection of 13 books written around 300 BC that forms the foundational text of geometry and rigorous mathematical proof.
26,The Elements of Style,4,William Strunk Jr.,,,,,5,1918,Pearson,978-0205309023,Available,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1682700068i/33514.jpg,2023-10-13,English,J-1,"A highly influential, concise American guide to English usage, writing style, and composition by Strunk and White."
27,On Writing Well,4,William Zinsser,,,,,4,1976,Harper Perennial,978-0060891541,Available,"https://m.media-amazon.com/images/I/71bIiz4wX0L._AC_UF1000,1000_QL80_.jpg",2023-10-13,English,J-2,"William Zinsser's classic guide to non-fiction writing, emphasizing clarity, simplicity, and warmth in all forms of writing."
28,Bird by Bird,4,Anne Lamott,,,,,3,1994,Anchor,978-0385480017,Available,"https://m.media-amazon.com/images/I/71JEw9Z4ujL._AC_UF350,350_QL50_.jpg",2023-10-14,English,J-3,"Anne Lamott's humorous and honest instruction book offering advice on the writing process and the creative life, encouraging incremental progress."
29,Eats Shoots and Leaves,4,Lynne Truss,,,,,2,2003,Gotham,978-1592402038,Available,https://upload.wikimedia.org/wikipedia/en/0/0b/ES%26L.png,2023-10-14,English,K-1,"A popular and humorous guide to proper punctuation, fiercely advocating for its strict adherence in English writing."
30,The Mother Tongue,4,Bill Bryson,,,,,4,1990,Harper Perennial,978-0380715435,Available,https://m.media-amazon.com/images/I/81NgfgbVE4L.jpg,2023-10-15,English,K-2,"Bill Bryson's lively and entertaining history and explanation of the English language, tracing its evolution and peculiarities."
31,The Story of Art,5,E.H. Gombrich,,,,,5,1950,Phaidon Press,978-0714832470,Available,https://upload.wikimedia.org/wikipedia/en/8/81/TheStoryOfArt.jpg,2023-10-15,English,L-1,"E.H. Gombrich's survey of art history from prehistoric times to the modern era, known for its accessible approach to visual culture."
32,Ways of Seeing,5,John Berger,,,,,3,1972,Penguin Books,978-0140135152,Borrowed,https://upload.wikimedia.org/wikipedia/en/e/e3/Waysofseeingcvr.jpg,2023-10-16,English,L-2,"John Berger's influential book exploring the hidden ideologies in visual images and how we interpret art, often questioning traditional aesthetic theories."
33,The Design of Everyday Things,5,Don Norman,,,,,6,1988,Basic Books,978-0465050659,Available,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7Z5gJyR3LYG0JiAIDg-HBwhTg-jklKqHRIw&s,2023-10-16,English,L-3,"Don Norman's essential book on design principles, focusing on how everyday objects should be designed for usability and comprehension."
34,Interaction of Color,5,Josef Albers,,,,,2,1963,Yale University Press,978-0300179354,Available,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1328870173i/111113.jpg,2023-10-17,English,M-1,Josef Albers's seminal work presenting his study of color behavior and perception through experience and experimentation.
35,Thinking with Type,5,Ellen Lupton,,,,,4,2004,Princeton Architectural Press,978-1568989693,Available,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1436288210i/69736.jpg,2023-10-17,English,M-2,"A practical and comprehensive guide to typography, covering its history, fundamental principles, and professional application in design."
36,Atomic Habits,5,James Clear,,,,,6,2018,Penguin Avery,978-0735211292,Available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655988385l/40121378.jpg,2023-10-18,English,N-1,"A guide by James Clear on how to build good habits and break bad ones through small, incremental changes using four simple laws."
37,Deep Work,5,Cal Newport,,,,,3,2016,Grand Central Publishing,978-1455586691,Available,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFU-hmbId644pXq0M_6N1RwiRtsRfr5aGtNw&s,2023-10-18,English,N-2,Cal Newport's argument for the ability to focus without distraction on a cognitively demanding task and how to cultivate this valuable skill.
38,Start with Why,6,Simon Sinek,,,,,5,2009,Portfolio,978-1591846444,Available,https://simonsinek.com/wp-content/uploads/2021/12/books-detail-start-with-why.jpg,2023-10-19,English,N-3,Simon Sinek's book proposing that inspiring leaders and organizations all start with a clear understanding of why they do what they do (The Golden Circle).
39,Good to Great,6,Jim Collins,,,,,4,2001,Harper Business,978-0066620992,Available,https://www.penguin.co.uk/_next/image?url=https%3A%2F%2Fcdn.penguin.co.uk%2Fdam-assets%2Fbooks%2F9780712676090%2F9780712676090-jacket-large.jpg&w=819&q=100,2023-10-19,English,O-1,"Jim Collins's business book investigating how companies transition from being merely ""good"" to achieving sustained ""great"" results."
40,Zero to One,6,Peter Thiel,,,,,2,2014,Currency,978-0804139298,Available,https://upload.wikimedia.org/wikipedia/en/d/d3/Zero_to_One.jpg,2023-10-20,English,O-2,"Peter Thiel's book on building startups and the future of innovation, arguing that true progress comes from creating new things (going from 0 to 1)."
41,The Lean Startup,6,Eric Ries,,,,,4,2011,Currency,978-0307887894,Available,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Lean_Startup.png/250px-Lean_Startup.png,2023-10-20,English,O-3,"Eric Ries's approach to creating startups and launching products, emphasizing rapid iteration, validated learning, and the MVP (Minimum Viable Product)."
42,Cracking the Coding Interview,6,Gayle Laakmann McDowell,,,,,6,2015,CareerCup,978-0984782857,Available,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1597774525i/55014663.jpg,2023-10-21,English,P-1,A comprehensive guide providing programming interview questions and solutions for software developers to prepare for technical job interviews.
43,Structure and Interpretation,6,Harold Abelson,,,,,3,1996,MIT Press,978-0262011532,Available,https://upload.wikimedia.org/wikipedia/commons/9/9d/SICP_cover.jpg,2023-10-21,English,P-2,"A classic computer science textbook, SICP, using Lisp/Scheme to introduce fundamental concepts of programming and computation."
44,Operating System Concepts,7,Abraham Silberschatz,,,,,4,2018,Wiley,978-1119800361,Available,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNGmeZ7DiLiksgyLAffFVprkyfagA578cmnQ&s,2023-10-22,English,Q-1,"A comprehensive and widely used textbook covering the design and implementation of operating systems, including processes, memory, and storage."
45,Computer Networking,7,James Kurose,,,,,5,2020,Pearson,978-0136681557,Available,"https://m.media-amazon.com/images/I/81ewUnANZPL._AC_UF1000,1000_QL80_.jpg",2023-10-22,English,Q-2,"A top-down approach textbook detailing the principles and technologies of computer networks, starting from the application layer."
46,Database System Concepts,7,Abraham Silberschatz,,,,,4,2019,McGraw-Hill,978-0078022159,Available,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvkfF6Sr0emMmRl-woFaoEIljkmu_6VKzOaA&s,2023-10-23,English,R-1,"A standard textbook on the fundamental concepts of database management systems, including design, query languages, and transaction processing."
47,Compilers,7,Alfred V. Aho,,,,,3,2006,Pearson,978-0321486813,Available,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Purple_dragon_book_b.jpg/250px-Purple_dragon_book_b.jpg,2023-10-23,English,R-2,"The textbook Compilers: Principles, Techniques, and Tools, affectionately known as the ""Dragon Book,"" covering compiler design."
48,Computer Architecture,7,John L. Hennessy,,,,,2,2017,Morgan Kaufmann,978-0128119051,Available,"https://m.media-amazon.com/images/I/51b-u-ff0SL._AC_UF1000,1000_QL80_.jpg",2023-10-24,English,R-3,"A quantitative approach to computer architecture and design, focusing on measuring, analyzing, and improving performance."
49,Artificial Intelligence Guide,7,Michael Negnevitsky,,,,,4,2011,Addison-Wesley,978-1408225745,Available,https://m.media-amazon.com/images/I/51eU7dwnR6L.jpg,2023-10-24,English,S-1,"A general text on AI, often referring to Artificial Intelligence: A Guide to Intelligent Systems by Michael Negnevitsky."
50,Python Crash Course,7,Eric Matthes,,,,,6,2019,No Starch Press,978-1593279288,Available,"https://m.media-amazon.com/images/I/71uiG3qqKaL._AC_UF1000,1000_QL80_.jpg",2023-10-25,English,S-2,"A fast-paced, practical introduction to programming with Python, focusing on hands-on projects and solving real-world problems."
